"Feature"	"Mean.Timberlake_Field(n=5)"	"Mean.Timberlake_Lab(n=18)"	"StdErr.Timberlake_Field(n=5)"	"StdErr.Timberlake_Lab(n=18)"	"MWTest.UStat"	"MWTest.Pval"	"MWTest.adjPval"	"3300017993.Timberlake_Field"	"3300017994.Timberlake_Field"	"3300017930.Timberlake_Field"	"3300017936.Timberlake_Field"	"3300017927.Timberlake_Field"	"3300017822.Timberlake_Lab"	"3300017821.Timberlake_Lab"	"3300017937.Timberlake_Lab"	"3300018001.Timberlake_Lab"	"3300018006.Timberlake_Lab"	"3300017823.Timberlake_Lab"	"3300017995.Timberlake_Lab"	"3300017932.Timberlake_Lab"	"3300017926.Timberlake_Lab"	"3300017928.Timberlake_Lab"	"3300017942.Timberlake_Lab"	"3300018007.Timberlake_Lab"	"3300017924.Timberlake_Lab"	"3300017934.Timberlake_Lab"	"3300017933.Timberlake_Lab"	"3300017943.Timberlake_Lab"	"3300018012.Timberlake_Lab"	"3300017955.Timberlake_Lab"
"pfam14890"	"92"	"220.888888888889"	"10.7098085883922"	"25.1195688226505"	"5.5"	"0.00364206024392536"	"0.0249687931391507"	"80"	"60"	"122"	"91"	"107"	"93"	"313"	"122"	"424"	"124"	"168"	"109"	"371"	"186"	"216"	"360"	"244"	"126"	"311"	"98"	"237"	"148"	"326"
"pfam14891"	"2.6"	"5.77777777777778"	"1.12249721603218"	"1.43839860928278"	"33.5"	"0.396557009931755"	"0.617095779085421"	"0"	"5"	"5"	"3"	"0"	"10"	"0"	"0"	"0"	"8"	"8"	"14"	"0"	"0"	"0"	"5"	"3"	"0"	"20"	"10"	"4"	"8"	"14"
"pfam14894"	"5.8"	"17.6666666666667"	"1.85472369909914"	"4.06563792838293"	"30.5"	"0.293595844913758"	"0.515914428913543"	"11"	"0"	"6"	"8"	"4"	"4"	"20"	"0"	"36"	"20"	"28"	"16"	"0"	"6"	"0"	"4"	"12"	"0"	"54"	"5"	"39"	"29"	"45"
"pfam14896"	"4"	"17.6111111111111"	"1.89736659610103"	"3.17376798070562"	"15.5"	"0.0301610667728481"	"0.106561454597089"	"6"	"10"	"4"	"0"	"0"	"24"	"2"	"16"	"10"	"15"	"3"	"33"	"7"	"14"	"21"	"40"	"22"	"29"	"0"	"15"	"19"	"0"	"47"
"pfam14897"	"3"	"2.5"	"1.37840487520902"	"0.964229517330549"	"52.5"	"0.564181754823884"	"0.74521387741079"	"5"	"0"	"0"	"3"	"7"	"4"	"2"	"14"	"8"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"7"
"pfam14898"	"0"	"4.55555555555556"	"0"	"2.35316810815617"	"32.5"	"0.21539546112237"	"0.421149964808089"	"0"	"0"	"0"	"0"	"0"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"18"	"0"	"2"	"38"	"0"	"0"	"0"	"0"	"0"	"14"	"0"
"pfam14902"	"0"	"0.111111111111111"	"0"	"0.111111111111111"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam14903"	"79.4"	"150.722222222222"	"11.4394055789626"	"23.4420165703803"	"25"	"0.146000828659327"	"0.320663265168148"	"65"	"53"	"95"	"116"	"68"	"91"	"117"	"84"	"97"	"184"	"227"	"139"	"57"	"18"	"42"	"179"	"158"	"42"	"221"	"102"	"342"	"253"	"360"
"pfam14905"	"302"	"156.055555555556"	"41.8258293402534"	"37.9098924974056"	"81"	"0.00812891943802949"	"0.0418381863083424"	"338"	"203"	"221"	"433"	"315"	"92"	"172"	"299"	"197"	"109"	"104"	"132"	"51"	"41"	"60"	"80"	"164"	"60"	"68"	"72"	"146"	"739"	"223"
"pfam14907"	"613.4"	"785.166666666667"	"101.839383344559"	"119.055165166998"	"37"	"0.587357722369164"	"0.74521387741079"	"403"	"382"	"810"	"879"	"593"	"662"	"221"	"506"	"601"	"914"	"1085"	"1054"	"364"	"166"	"327"	"669"	"911"	"293"	"920"	"746"	"1829"	"831"	"2034"
"pfam14921"	"0"	"2.77777777777778"	"0"	"0.752145321949441"	"22.5"	"0.0622916349994846"	"0.182199349022991"	"0"	"0"	"0"	"0"	"0"	"7"	"0"	"0"	"0"	"4"	"0"	"0"	"6"	"0"	"7"	"0"	"2"	"9"	"4"	"0"	"5"	"0"	"6"
"pfam14930"	"9.6"	"49.5555555555556"	"2.56124969497314"	"8.26964771606733"	"8"	"0.00650411260388329"	"0.036810059157264"	"8"	"2"	"10"	"10"	"18"	"25"	"26"	"43"	"20"	"47"	"53"	"51"	"13"	"9"	"49"	"59"	"67"	"6"	"38"	"41"	"103"	"133"	"109"
"pfam14934"	"0.4"	"3.5"	"0.4"	"1.34127536615087"	"30.5"	"0.235795599754967"	"0.447548285735792"	"0"	"0"	"0"	"2"	"0"	"0"	"2"	"0"	"0"	"8"	"6"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"3"	"0"	"19"	"5"	"16"
"pfam14938"	"21.6"	"43.5555555555556"	"4.88466989672792"	"5.71217151468836"	"19.5"	"0.0622779992728857"	"0.182199349022991"	"7"	"18"	"18"	"32"	"33"	"24"	"50"	"21"	"12"	"35"	"51"	"39"	"62"	"16"	"32"	"59"	"80"	"17"	"40"	"26"	"84"	"43"	"93"
"pfam14947"	"462.4"	"569.944444444444"	"28.7534345774553"	"104.288077393438"	"42.5"	"0.881439293125427"	"0.899366743725499"	"429"	"431"	"456"	"575"	"421"	"145"	"743"	"37"	"1366"	"799"	"770"	"246"	"272"	"125"	"129"	"462"	"421"	"188"	"1566"	"453"	"770"	"661"	"1106"
"pfam14956"	"0.4"	"0"	"0.4"	"0"	"54"	"0.0731397996589089"	"0.195692298687256"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam14979"	"0.8"	"0"	"0.8"	"0"	"54"	"0.0731397996589089"	"0.195692298687256"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam15011"	"0"	"0.222222222222222"	"0"	"0.222222222222222"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"
"pfam15028"	"0"	"0.111111111111111"	"0"	"0.111111111111111"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam15035"	"0"	"0.333333333333333"	"0"	"0.242535625036333"	"40"	"0.492778130690203"	"0.669435894685097"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam15057"	"0"	"0.111111111111111"	"0"	"0.111111111111111"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"
"pfam15071"	"6"	"0"	"2"	"0"	"81"	"6.2335870003874e-05"	"0.00315049836013766"	"9"	"3"	"0"	"7"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam15140"	"2.4"	"0.5"	"1.93907194296653"	"0.3638034375545"	"58"	"0.158603180312131"	"0.339757872462631"	"0"	"10"	"2"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"6"	"0"
"pfam15159"	"0"	"0.111111111111111"	"0"	"0.111111111111111"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam15188"	"0.8"	"0"	"0.8"	"0"	"54"	"0.0731397996589089"	"0.195692298687256"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam15239"	"0"	"0.111111111111111"	"0"	"0.111111111111111"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam15272"	"0.8"	"0.111111111111111"	"0.8"	"0.111111111111111"	"52"	"0.321812576232245"	"0.551892705326942"	"0"	"0"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
"pfam15283"	"0"	"0.555555555555556"	"0"	"0.555555555555556"	"42.5"	"0.673289979659996"	"0.74521387741079"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"10"	"0"	"0"	"0"	"0"
