Ga0187809_10000014_101,K02904
Ga0187809_10000014_102,K02961
Ga0187809_10000014_103,K02874
Ga0187809_10000014_104,K02895
Ga0187809_10000014_105,K02931
Ga0187809_10000014_106,K02954
Ga0187809_10000014_107,K02994
Ga0187809_10000014_108,K02933
Ga0187809_10000014_109,K02881
Ga0187809_10000014_110,K02988
Ga0187809_10000014_111,K02907
Ga0187809_10000014_112,K02876
Ga0187809_10000014_113,K03076
Ga0187809_10000014_114,K00939
Ga0187809_10000014_115,K01265
Ga0187809_10000014_116,K01919
Ga0187809_10000014_117,K18912
Ga0187809_10000014_118,K07008
Ga0187809_10000014_119,K18911
Ga0187809_10000014_120,
Ga0187809_10000014_121,
Ga0187809_10000014_122,
Ga0187809_10000014_123,
Ga0187809_10000014_124,
Ga0187809_10000014_125,K02518
Ga0187809_10000014_126,K02919
Ga0187809_10000014_127,K02952
Ga0187809_10000014_128,K02948
Ga0187809_10000014_129,K02986
Ga0187809_10000014_130,K03040
Ga0187809_10000014_131,K02879
Ga0187809_10000014_132,K06173
Ga0187809_10000014_133,K07002
Ga0187809_10000014_134,
Ga0187809_10000014_135,
Ga0187809_10000014_136,
Ga0187809_10000014_137,K00694
Ga0187809_10000014_138,
Ga0187809_10000014_139,K00104
Ga0187809_10000014_140,
Ga0187809_10000014_141,K02871
Ga0187809_10000014_142,K02996
Ga0187809_10000014_143,K03431
Ga0187809_10000014_144,
Ga0187809_10000014_145,K21567
Ga0187809_10000014_146,K00997
Ga0187809_10000014_147,K23997
Ga0187809_10000014_148,K01775
Ga0187809_10000014_149,
Ga0187809_10000014_150,K06925
Ga0187809_10000014_151,K14742
Ga0187809_10000014_152,K03789
Ga0187809_10000014_153,
Ga0187809_10000014_154,
Ga0187809_10000014_155,
Ga0187809_10000014_156,
Ga0187809_10000014_157,
Ga0187809_10000014_158,
Ga0187809_10000014_159,
Ga0187809_10000014_160,K04078
Ga0187809_10000014_161,K04077
Ga0187809_10000014_162,K18955
