,sampleID,sampleID_clean,Treatment,Depth,TrtDepth,rich,shannon,MG_MT,AO_NOB,Salinity,CH4_ug_m2_h,N2O_ug_m2_h,CO2_ug_m2_h,Cl_mgL,SO4_mgL,NH4_mgL,NO3_mgL,pH,PO4_mgL,TOC_mgL,TN_mgL,Br_mgL,DIN_mgL,DON_mgL,sed_per_C,sed_per_N,sed_CN,SO4,ASW
TL_inc_d2_ASW_5,TL_inc_d2_ASW_5,#NAME?,#NAME?,10-15 cm,+ASW10-15 cm,1794,5.014470497,13.10909091,17.9,1.59930913,1.789951,86.10041354,63893.32825,1599.30913,168.252726,8.97692188,82.2118324,4.55,0.01648335,33.24468,97.76,0.005,91.1887542,6.57124576,9.090615273,0.310946494,29.23530394,TRUE,TRUE
TL_inc_d2_ASW_noS_2,TL_inc_d2_ASW_noS_2,#NAME?,#NAME?,10-15 cm,+ASW-SO410-15 cm,1777,4.758191778,9.913461538,28.31410256,3.15494956,82652.6946,21.10262501,47949.26565,3154.94956,0.005,16.225025,5.00E-04,3.99,0.0079477,39.36828,12.46,4.20263577,16.225525,-3.765525,17.65844345,0.596367776,29.60998925,FALSE,TRUE
TL_inc_d2_ASW_noS_3,TL_inc_d2_ASW_noS_3,#NAME?,#NAME?,10-15 cm,+ASW-SO410-15 cm,1761,4.780962669,1.993006993,15.37878788,2.57403466,69773.41361,16.40006587,98463.38421,2574.03466,1.74740759,21.19408,5.00E-04,4,0.00552263,27.58518,18.62,0.005,21.19458,-2.57458,16.07719231,0.547738433,29.35195221,FALSE,TRUE
TL_inc_d2_ASW_noS_4,TL_inc_d2_ASW_noS_4,#NAME?,#NAME?,10-15 cm,+ASW-SO410-15 cm,2263,4.912101445,13.46226415,28.51968504,3.17654381,28618.57167,24.43165387,28310.48738,3176.54381,0.005,34.07808,5.00E-04,4.15,0.00545395,66.9837,32.22,1.72176035,34.07858,-1.85858,17.25424957,0.570467234,30.24582054,FALSE,TRUE
TL_inc_d2_ASW_noS_5,TL_inc_d2_ASW_noS_5,#NAME?,#NAME?,10-15 cm,+ASW-SO410-15 cm,1867,5.022341356,1.561403509,41.75690608,3.26052976,139556.9149,38.86030587,134008.7612,3260.52976,0.005,21.07332,5.00E-04,4.435,0.00759116,36.52992,17.64,1.255542,21.07382,-3.43382,19.28874207,0.479577333,40.22029556,FALSE,TRUE
TL_inc_d2_DI_ctrl_1,TL_inc_d2_DI_ctrl_1,Control_1_D2,Control,10-15 cm,Control10-15 cm,2585,5.236430739,0.185185185,14.02173913,0.001177756,0.163249,522.7278938,58655.45702,1.17775552,1.25046917,0.1413217,0.20842691,3.71,0.0026518,43.95,1.947,0.005,0.34974861,1.59725139,13.70135307,0.465913832,29.40748294,FALSE,FALSE
TL_inc_d2_DI_ctrl_3,TL_inc_d2_DI_ctrl_3,Control_3_D2,Control,10-15 cm,Control10-15 cm,2727,5.499693977,2.449275362,14.2703533,0.004011321,770.897167,563.7642806,297282.877,4.01132081,0.22321913,2.2913804,5.00E-04,3.71,0.00252157,79.19,4.228,0.14647805,2.2918804,1.9361196,16.47036362,0.595917046,27.63868516,FALSE,FALSE
TL_inc_d2_DI_ctrl_4,TL_inc_d2_DI_ctrl_4,Control_4_D2,Control,10-15 cm,Control10-15 cm,2437,5.275647633,0.210526316,17.35515873,0.002375885,-1163.750626,1214.36367,574594.2542,2.37588532,6.3002217,1.68479271,1.58637061,3.68,0.00365863,24.01,4.075,0.03812011,3.27116332,0.80383668,11.24158669,0.372171849,30.20536538,FALSE,FALSE
TL_inc_d2_DI_ctrl_5,TL_inc_d2_DI_ctrl_5,Control_5_D2,Control,10-15 cm,Control10-15 cm,2466,4.960819329,0.061403509,50.28571429,0.003219973,3.497878,1313.523272,412676.774,3.21997322,18.6545793,0.0265396,36.4016317,3.7,0.0025,18.4,47.28,0.03705312,36.4281713,10.8518287,14.81964397,0.528211594,28.05626411,FALSE,FALSE
TL_inc_d2_SO4_2,TL_inc_d2_SO4_2,#NAME?,0,10-15 cm,+SO410-15 cm,2378,5.18131787,0.418918919,18.12690355,0.00380656,32.215183,320.3661339,147030.9982,3.80655954,94.4127201,2.48247856,0.01001436,3.77,0.00454714,55.7214,3.688,0.005,2.49249292,1.19550708,17.79508781,0.598039329,29.75571497,TRUE,FALSE
TL_inc_d2_SO4_3,TL_inc_d2_SO4_3,#NAME?,0,10-15 cm,+SO410-15 cm,2287,5.133836071,0.266666667,25.79347826,0.005327178,11.361234,113.8392453,85586.78449,5.32717807,199.347167,4.41885138,0.11820007,3.7,0.0025,NA,NA,0.0166931,4.53705144,NA,11.82965565,0.44077915,26.83805634,TRUE,FALSE
TL_inc_d2_SO4_4,TL_inc_d2_SO4_4,#NAME?,0,10-15 cm,+SO410-15 cm,2147,5.143459344,0.906354515,14.54303279,0.001433082,-1296.162966,59.03330849,76761.01026,1.43308175,144.771172,3.11669644,5.00E-04,3.71,0.0025,NA,NA,0.005,3.11719644,NA,13.11613846,0.421367049,31.12758457,TRUE,FALSE
TL_inc_d2_SO4_5A,TL_inc_d2_SO4_5A,#NAME?,0,10-15 cm,+SO410-15 cm,1839,4.92370461,0.689530686,66.90123457,0.000421898,5.611378,90.08277878,83959.84052,0.23353175,296.250494,2.297747,0.02911434,3.76,0.0025,NA,NA,0.005,2.32686134,NA,17.43265915,0.576176047,30.25578594,TRUE,FALSE
TL_inc_d2_SO4_5B,TL_inc_d2_SO4_5B,#NAME?,0,0-5 cm,+SO410-15 cm,3785,5.942401966,0.114285714,17.27433628,0.000421898,5.611378,90.08277878,83959.84052,0.23353175,296.250494,2.297747,0.02911434,3.83,0.0025,NA,NA,0.005,2.32686134,NA,13.50194931,0.476512074,28.33495736,TRUE,FALSE
