Sequence_ID	sample_name
ASV_104175	Field_10_D1
ASV_104178	Field_36_D1
ASV_10418	+ASW-SO4_3_D2
ASV_104182	+ASW-SO4_3_D1
ASV_104184	Field_19_D2
ASV_104198	Control_4_D2
ASV_104199	Control_3_D2
ASV_104202	+ASW_5_D1
ASV_10421	Field_10_D1
ASV_104212	+ASW_5_D1
ASV_104215	Field_10_D1
ASV_104220	+ASW-SO4_5_D2
ASV_104224	Field_43_D1
ASV_104230	Field_19_D1
ASV_104235	Field_10_D1
ASV_104243	Field_10_D1
ASV_104246	+SO4_5B_D1
ASV_104254	+ASW_3_D1
ASV_104255	Field_10_D2
ASV_104257	Field_36_D1
ASV_104258	Control_3_D1
ASV_104259	+ASW-SO4_2_D1
ASV_104263	Field_10_D1
ASV_104265	Field_46_D1
ASV_104269	Field_36_D1
ASV_104270	+ASW_4_D2
ASV_104291	Field_43_D1
ASV_104293	Field_10_D1
ASV_104294	Field_36_D2
ASV_104295	Control_3_D1
ASV_104296	Field_36_D1
ASV_104309	Field_36_D1
ASV_104310	Field_43_D1
ASV_104313	Field_10_D1
ASV_104314	Field_10_D1
ASV_104315	Field_43_D2
ASV_104317	Field_10_D1
ASV_104319	Field_46_D1
ASV_104320	+SO4_4_D1
ASV_104332	Field_19_D2
ASV_104346	Field_43_D1
ASV_104347	Field_19_D1
ASV_104348	Field_10_D1
ASV_104352	Field_10_D1
ASV_104356	Field_10_D1
ASV_104368	+ASW-SO4_1_D1
ASV_104369	Field_43_D1
ASV_1044	Field_10_D1
ASV_104425	Field_36_D1
ASV_10443	Field_10_D1
ASV_10444	Field_10_D2
ASV_104446	Field_19_D1
ASV_10445	Field_10_D1
ASV_10446	Field_46_D1
ASV_1045	Field_10_D1
ASV_10457	Field_10_D1
ASV_10458	Field_10_D1
ASV_10459	Field_10_D1
ASV_1046	Field_46_D1
ASV_10469	Field_10_D1
ASV_10470	Field_10_D1
ASV_10471	Field_36_D1
ASV_10472	Field_10_D1
ASV_10490	Field_10_D1
ASV_10491	Field_10_D1
ASV_105	Field_36_D1
ASV_1050	Field_10_D1
ASV_10503	Field_10_D1
ASV_10504	Field_10_D1
ASV_10505	Field_10_D1
ASV_10519	Field_19_D1
ASV_1053	Field_10_D1
ASV_10532	Field_10_D1
ASV_10533	Field_36_D1
ASV_10534	Field_10_D1
ASV_1054	Field_10_D1
ASV_10550	Field_10_D1
ASV_10552	Field_10_D1
ASV_10554	Field_10_D1
ASV_10555	Field_19_D1
ASV_10556	Field_10_D1
ASV_1057	Field_10_D1
ASV_10570	Field_10_D1
ASV_10572	Field_36_D1
ASV_10576	Field_10_D1
ASV_10578	Field_10_D1
ASV_10590	Field_10_D1
ASV_106	Field_10_D1
ASV_10602	Field_10_D1
ASV_10603	Field_10_D1
ASV_10604	Field_10_D1
ASV_10605	Field_10_D1
ASV_10606	+ASW-SO4_2_D1
ASV_10616	Field_19_D1
ASV_10617	Field_10_D1
ASV_10619	Field_10_D1
ASV_10620	Field_10_D2
ASV_10621	Field_10_D1
ASV_10622	Field_36_D1
ASV_10624	Field_10_D1
ASV_10639	Field_10_D1
ASV_10641	Field_10_D1
ASV_10643	Field_10_D1
ASV_10644	Field_36_D1
ASV_10645	Field_10_D1
ASV_10647	Field_19_D1
ASV_10664	Field_10_D1
ASV_10677	Field_46_D1
ASV_10679	Field_10_D1
ASV_10681	Field_10_D1
ASV_10683	Field_10_D1
ASV_10696	Field_10_D1
ASV_10714	Field_10_D1
ASV_10717	Field_43_D1
ASV_10718	+ASW_3_D1
ASV_10729	Field_46_D1
ASV_10753	Field_10_D1
ASV_10755	Field_43_D1
ASV_10769	Field_10_D1
ASV_10770	Field_43_D1
ASV_10771	Field_10_D1
ASV_10772	Field_10_D1
ASV_10773	Field_10_D1
ASV_10774	Field_10_D1
ASV_107882	Field_19_D1
ASV_107884	Field_46_D1
ASV_107887	Field_19_D1
ASV_107891	Field_19_D1
ASV_107892	Field_10_D1
ASV_107896	Field_43_D1
ASV_107898	+ASW_5_D2
ASV_107899	Field_10_D1
ASV_1079	Field_19_D1
ASV_107907	+ASW_1_D2
ASV_107908	Field_10_D2
ASV_107911	+ASW_3_D1
ASV_107918	Field_46_D2
ASV_10792	Field_10_D1
ASV_107926	Field_10_D1
ASV_10793	Field_46_D1
ASV_10794	Field_10_D1
ASV_107942	Field_19_D1
ASV_107943	Field_10_D1
ASV_107954	Field_36_D1
ASV_10796	Field_10_D1
ASV_107965	Field_10_D1
ASV_107967	Field_46_D2
ASV_107969	Field_10_D2
ASV_10797	+ASW_5_D1
ASV_10798	Field_10_D1
ASV_107983	Field_19_D1
ASV_107984	+ASW-SO4_3_D2
ASV_10799	Field_10_D1
ASV_107990	+ASW-SO4_4_D1
ASV_107998	+ASW_4_D1
ASV_108	Field_10_D1
ASV_1080	Field_10_D1
ASV_108000	Control_3_D1
ASV_108003	Control_2_D1
ASV_108004	Field_19_D1
ASV_108009	Control_4_D2
ASV_108015	+ASW_3_D1
ASV_108021	Control_4_D1
ASV_108022	Field_10_D1
ASV_108031	Field_36_D1
ASV_108034	Field_46_D1
ASV_108050	+ASW_4_D1
ASV_108053	Field_19_D1
ASV_108056	Field_10_D1
ASV_108057	Field_10_D1
ASV_108060	+ASW-SO4_3_D2
ASV_108061	+ASW_4_D1
ASV_108062	Field_19_D1
ASV_108066	Control_3_D1
ASV_108074	+SO4_4_D1
ASV_108076	Control_3_D1
ASV_108089	Field_10_D1
ASV_108090	Field_10_D1
ASV_108097	Field_10_D1
ASV_108121	Field_19_D1
ASV_108126	Field_43_D1
ASV_108132	Field_36_D2
ASV_108133	Field_36_D1
ASV_10814	Field_10_D1
ASV_108140	Field_46_D1
ASV_108145	+SO4_5A_D1
ASV_10815	Field_10_D1
ASV_108155	Field_46_D1
ASV_108158	Field_10_D1
ASV_108159	+ASW-SO4_2_D1
ASV_10816	Field_19_D1
ASV_108167	Control_3_D1
ASV_10817	Field_10_D1
ASV_108171	Field_19_D2
ASV_108173	Field_10_D1
ASV_108178	+SO4_5B_D2
ASV_108198	Field_19_D1
ASV_1082	Field_19_D1
ASV_108205	Field_10_D1
ASV_108206	+ASW-SO4_1_D1
ASV_108208	Field_10_D2
ASV_108212	Field_46_D1
ASV_108216	+ASW_3_D1
ASV_108219	Field_10_D1
ASV_108223	Field_10_D1
ASV_108227	Field_10_D1
ASV_108230	Field_19_D1
ASV_108233	+ASW-SO4_4_D1
ASV_108234	Field_19_D1
ASV_108238	+ASW_3_D1
ASV_108240	+ASW_5_D1
ASV_108243	Field_46_D1
ASV_108249	+ASW_3_D1
ASV_108250	Field_19_D2
ASV_108252	Field_10_D2
ASV_108254	+ASW_3_D1
ASV_108277	Field_36_D1
ASV_108278	Field_46_D1
ASV_108280	Field_46_D1
ASV_108283	Field_36_D1
ASV_108294	Field_46_D1
ASV_108298	Control_3_D1
ASV_1083	Field_10_D1
ASV_108300	Field_19_D1
ASV_108304	Field_36_D1
ASV_108307	Field_19_D1
ASV_108309	Field_19_D1
ASV_108310	Field_36_D2
ASV_108316	Field_36_D1
ASV_108318	Field_19_D2
ASV_108321	Field_10_D1
ASV_108322	+ASW-SO4_5_D1
ASV_108324	Field_36_D1
ASV_108331	+ASW-SO4_3_D1
ASV_108337	+ASW-SO4_5_D1
ASV_108338	Field_10_D1
ASV_108344	+ASW_3_D1
ASV_10835	Field_10_D1
ASV_108352	+ASW-SO4_5_D1
ASV_108353	+ASW_4_D1
ASV_108359	+ASW-SO4_4_D1
ASV_108361	Field_43_D1
ASV_108367	+ASW_3_D1
ASV_108374	Field_19_D2
ASV_108385	+ASW_3_D1
ASV_108395	Field_43_D1
ASV_108398	Field_10_D1
ASV_1084	Field_10_D1
ASV_108401	Field_36_D1
ASV_108406	Field_36_D1
ASV_108407	Field_19_D2
ASV_108415	Field_10_D2
ASV_108416	Field_10_D1
ASV_108417	Field_43_D2
ASV_108422	Field_10_D2
ASV_108424	Field_43_D2
ASV_108430	Field_43_D1
ASV_108437	Field_19_D2
ASV_108438	+ASW_4_D1
ASV_108445	Control_3_D1
ASV_108446	Field_19_D1
ASV_108453	+ASW_3_D2
ASV_108456	Field_10_D1
ASV_108457	Field_36_D1
ASV_108458	Field_19_D1
ASV_10847	Field_10_D1
ASV_108474	Field_10_D1
ASV_108479	Field_46_D1
ASV_10848	Field_10_D1
ASV_10849	Field_19_D1
ASV_108491	Field_19_D1
ASV_108493	+ASW-SO4_1_D1
ASV_108495	Control_5_D1
ASV_108496	Field_43_D1
ASV_108497	+SO4_5B_D2
ASV_108500	Field_46_D1
ASV_108505	Field_10_D1
ASV_108509	Field_36_D2
ASV_108513	+ASW_3_D1
ASV_108514	Control_2_D1
ASV_108523	Control_3_D1
ASV_108539	+ASW-SO4_5_D1
ASV_108546	Field_36_D2
